Acrocanthops: Arctops Acrocanthosaurus
Aenocyonyx: DireWolf Thylaconyx
Albertocevia: Edaphocevia Albertosaurus
Allodrigues: RodriguesSolitaire Alloraptor
Alloraptor: Delta Allosaurus2
Amargocephalus: Amargasaurus Euoplocephalus
Andrewtodon: Andrewsarchus Glyptodon
Andrewtops: Andrewtodon Arctops
Ankylomoloch: Bumpy Stygimoloch
AnkylosLux: Ankylomoloch Diorajasaur
Ankyntrosaurus: Ankylosaurus Kentrosaurus
Antarctovenator: Diplovenator Antarctopelta
Arctalces: Arctodus Cervalces
Arctovasilas: Arctalces Testacornibus
Ardentismaxima: Brachiosaurus Ardontosaurus
Ardontognathus: Anurognathus Ardontosaurus
Ardontosaurus: Argentinosaurus Secodontosaurus
Atrocimoloch: Tiger Paramoloch
Atrocodistis: Red Tragodistis
Bajatonodon: Edmontoguanodon Bajadasaurus
Carbotoceratops: Carbonemys Nasutoceratops
Compsocaulus: Compsognathus Diplocaulus2
Compsoraptor: Tarbognathus Beta
Compsovenator: Compsoraptor Dracovenator
Concakuisaurus: Concavenator Fukuisaurus
Concatoloch: Concatosaurus Tuoramoloch
Concatosaurus: Concakuisaurus Tenontosaurus
Constrictoraptor: Panthera Dilophoboa
Crichtomoloch: Crichtonsaurus Ankylomoloch
Dilophoboa: Titanoboa Dilophosaurus2
Dimodactylus: Tupandactylus Dimorphodon
Diorajasaur: Rajakylosaurus Tuojiangosaurus
Diplovenator: Diplocaulus2 Concavenator
DracoLux: Utarinex StyracosaurusLux
Dsungaia: Miragaia Dsungaripterus
Dsungascorpios: Pulmonoscorpius Dsungaia
Edaphocevia: Inostrancevia Edaphosaurus
Edmontoguanodon: Edmontosaurus Iguanodon
Einiasuchus: Einiosaurus Nundasuchus
Entelolania: Meiolania Entelomoth
Entelomoth: Entelodon WoollyMammoth
Geminideus: Geminititan Stegodeus
Geminititan: Diplodocus Koolabourgiana
Giganyx: Tryostronix Giganotosaurus
Gigaspikasaur: Nodopatosaurus Amargasaurus
Glyptoceras: Stegoceras Glyptodon
Glyptosavis: Glyptoceras Antarctovenator
Gorgosuchus: Gorgosaurus Kaprosuchus
Gryganyth: Giganyx Grypolyth
Grylenken: Kelenken Gryposuchus
Grypolyth: Gryposuchus Purrolyth
Indolycan: Aenocyonyx Indoraptor2
IndominusRex2: TyrannosaurusRex2 Echo
IndominusRex: TyrannosaurusRex Velociraptor
Indonemys: IndominusRex Smilonemys
Indoraptor2: IndominusRex2 Blue
Koolabourgiana: Arambourgiania Koolasuchus2
Lystrosavis: Lystrosuchus Argentavis
Lystrosuchus: Lystrosaurus Einiasuchus
Magnapyritor: Dimetrodon Pyrritator
Magnaraptor: Magnapyritor Allodrigues
Mammolania: Mammotherium Meiolania
Mammotherium: Elasmotherium WoollyMammoth
Megalocevia: Megalosuchus Albertocevia
Megalosuchus: Gorgosuchus Megalosaurus
Monolometrodon: Dimetrodon2 Monolophosaurus2
Monolorhino: WoollyRhino Monolometrodon
Monomimus: Gallimimus Monolophosaurus
Monostegotops: Stegoceratops Monolophosaurus
Nodopatosaurus: Apatosaurus Nodosaurus
Ovylenken: Oviraptor2 Grylenken
Pantherator: PantheraBlytheae Thylacotator
Paramoloch: Parasaurolophus Stygimoloch
Parasauthops: Acrocanthops ParasaurolophusLux
Plateopikasaurus: Plateosaurus Gigaspikasaur
Plateorex: Plateopikasaurus Tenontorex
Postimetrodon: Postosuchus Dimetrodon
Poukaidei: HaastEagle Deinonychus
Poukandactylus: Poukaidei Tupandactylus
Protonodon: Protoceratops Bajatonodon
Pteraquetzal: Pteranodon Quetzalcoatlus
Pterovexus: Darwinopterus Monomimus
Purrolyth: Lythronax Purussaurus2
Pyrorixis: Pyrosuchus Ghost
Pyrosuchus: Pyroraptor2 Sarcorixis
Pyrritator: Pyroraptor Irritator
Quetzaljara: Pteraquetzal Tapejara
Rajadorixis: Rajadotholus Pyrorixis
Rajadotholus: Rajatholus Scelidosaurus
Rajakylosaurus: Rajasaurus Ankylosaurus
Rajatholus: Rajasaurus Sphaerotholus
SahPanthera: Pantherator Scutophicyon
Sarcorixis: Sarcosuchus Einiasuchus
Scutophicyon: Amphicyon Scutosaurus
Segnoraptor: Therizinosaurus Microraptor
Segnotherisaurus: Segnoraptor Arctodus
Skoolasaurus: Koolasuchus Scolosaurus
Skoonametrodon: Tyrannometrodon Skoonasaurus
Skoonasaurus: Sonorasaurus Skoolasaurus
Skorpiodactylus: Skorpiovenator Dimodactylus
Skorpiostegotops: Skorpiodactylus Monostegotops
Smilocephalosaurus: Smilodon Pachycephalosaurus
Smilonemys: Smilocephalosaurus Carbonemys
Stegoceratops: Triceratops Stegosaurus
Stegodeus: Stegosaurus Nodopatosaurus
Suchotator: Suchomimus Irritator2
Tarbognathus: Compsognathus2 Tarbosaurus
Tenontorex: Tyannolophosaur Tenontosaurus
Testacornibus: Eucladoceros Carbotoceratops
Thylaconyx: Baryonyx2 MarsupialLion
Thylacotator: MarsupialLion Suchotator
Tragodistis: Amargocephalus Parasaurolophus
Trykosaurus: TyrannosaurusRex Ankyntrosaurus
Trykovenator: Trykosaurus Antarctovenator
Tryostronix: Baryonyx Postimetrodon
Tuoramoloch: Paramoloch Tuojiangosaurus
Tyannolophosaur: TyrannosaurusRex2 Dilophosaurus2
Tyrannometrodon: Rexy Postimetrodon
Utarinex: Dracorex Utasinoraptor
Utasinoraptor: Utahraptor Sinoceratops
